"MAPPINGID","SOURCE_SYSTEM","TARGET_SYSTEM","ATTRIBUTE","KEY","VALUE","DESCRIPTION"
"26361","GSSP","MAJESCO","PROVISIONNAME_CIAA0611","CIAA_GS","PREMPAYMENTTAXBASIS","pretaxdollar"
"26362","GSSP","MAJESCO","PROVISIONNAME_ACC0611","ACC_GS","PREMPAYMENTTAXBASIS","pretaxdollar"
"26363","GSSP","MAJESCO","PROVISIONNAME_HI0611","HI_GS","PREMPAYMENTTAXBASIS","pretaxdollar"
"26364","PAS","GSSP","SOHStatus","Declined+SOHDeclined","Declined","Translate uwStatus to Portal SOH status"
"26365","PAS","GSSP","SOHStatus","Declined+MilimanDeclined","Declined","Translate uwStatus to Portal SOH status"
"26366","PAS","GSSP","SOHStatus","Declined+MUWDeclined","Declined","Translate uwStatus to Portal SOH status"
"26367","PAS","GSSP","SOHStatus","Declined+AppealDeclined","Declined","Translate uwStatus to Portal SOH status"
"26368","PAS","GSSP","SOHStatus","Declined+BaseSOHDeclined","Closed","Translate uwStatus to Portal SOH status"
"26369","PAS","GSSP","SOHStatus","Declined+BaseMillimanDeclined","Closed","Translate uwStatus to Portal SOH status"
"26370","PAS","GSSP","SOHStatus","Declined+BaseMUWDeclined","Closed","Translate uwStatus to Portal SOH status"
"26371","PAS","GSSP","SOHStatus","Withdrawn+Withdrawn","Withdrawn","Translate uwStatus to Portal SOH status"
"26372","PAS","GSSP","SOHStatus","Withdrawn+BaseSOHWithdrawn","Closed","Translate uwStatus to Portal SOH status"
"26373","PAS","SFDC","QuoteStatusCode","1036970148","DTQ","Getting QuoteStatusCode"
"26374","GSSP","PAS","answerDescription","DPPO_TIERCT_Tier 2 -  Employee+Spouse","EES","Retrieving Majesco Tier Value"
"26375","GSSP","PAS","answerDescription","DPPO_TIERCT_Tier 3 -  Employee+Child(ren)","EEC","Retrieving Majesco Tier Value"
"26376","GSSP","PAS","answerDescription","DPPO_TIERCT_Tier 4 -  Employee + Family","EEF","Retrieving Majesco Tier Value"
"26377","GSSP","PAS","answerDescription","DHMO_TIERCT_Tier 2 -  Employee+Spouse","EES","Retrieving Majesco Tier Value"
"26378","GSSP","PAS","answerDescription","DHMO_TIERCT_Tier 3 -  Employee+Child(ren)","EEC","Retrieving Majesco Tier Value"
"26379","GSSP","PAS","answerDescription","DHMO_TIERCT_Tier 4 -  Employee + Family","EEF","Retrieving Majesco Tier Value"
"26380","GSSP","PAS","answerDescription","VIS_TIERCT_Tier 2 -  Employee+Spouse","EES","Retrieving Majesco Tier Value"
"26381","GSSP","PAS","answerDescription","VIS_TIERCT_Tier 3 -  Employee+Child(ren)","EEC","Retrieving Majesco Tier Value"
"27021","PAS","GSSP","ACC","Partially Paid","PP","NULL"
"27022","PAS","GSSP","CIAA","Partially Paid","PP","NULL"
"27023","PAS","GSSP","HI","Partially Paid","PP","NULL"
"24631","GSSP","MAJESCO","CP_STD_10","CP_STD","EMPLOYEEFUNDPRETAXDOLLAR-*","Retrieving Provision based on value"
"24632","PAS","GSSP","QuoteProvisionsName_108_8","GUARANTEEDISSUEAMOUNT_*_DEPLS","Spouse Life Medical Evidence of Insurability (MEOI)","Retrieving Provision based on value"
"24633","PAS","GSSP","QuoteProvisionsName_108_9","GUARANTEEDISSUEAMOUNT_*_DEPLC","Child Life Medical Evidence of Insurability (MEOI)","Retrieving Provision based on value"
"24634","GSSP","MAJESCO","State","Alabama","AL","StateCode"
"24635","GSSP","MAJESCO","State","Alaska","AK","StateCode"
"24636","GSSP","MAJESCO","State","American Samoa","AS","StateCode"
"24637","GSSP","MAJESCO","State","Arizona","AZ","StateCode"
"24638","GSSP","MAJESCO","State","Arkansas","AR","StateCode"
"24639","GSSP","MAJESCO","State","California","CA","StateCode"
"24640","GSSP","MAJESCO","State","Colorado","CO","StateCode"
"24641","GSSP","MAJESCO","State","Connecticut","CT","StateCode"
"24642","GSSP","MAJESCO","State","Delaware","DE","StateCode"
"24643","GSSP","MAJESCO","State","District of Columbia","DC","StateCode"
"24644","GSSP","MAJESCO","State","Federated States of Micronesia","FM","StateCode"
"24645","GSSP","MAJESCO","State","Florida","FL","StateCode"
"24646","GSSP","MAJESCO","State","Georgia","GA","StateCode"
"24647","GSSP","MAJESCO","State","Guam","GU","StateCode"
"24648","GSSP","MAJESCO","State","Hawaii","HI","StateCode"
"24649","GSSP","MAJESCO","State","Idaho","ID","StateCode"
"24650","GSSP","MAJESCO","State","Illinois","IL","StateCode"
"24651","GSSP","MAJESCO","State","Indiana","IN","StateCode"
"24652","GSSP","MAJESCO","State","Iowa","IA","StateCode"
"24653","GSSP","MAJESCO","State","Kansas","KS","StateCode"
"24654","GSSP","MAJESCO","State","Kentucky","KY","StateCode"
"24655","GSSP","MAJESCO","State","Louisiana","LA","StateCode"
"24656","GSSP","MAJESCO","State","Marshall Islands","MH","StateCode"
"24657","GSSP","MAJESCO","State","Maryland","MD","StateCode"
"24658","GSSP","MAJESCO","State","Massachusetts","MA","StateCode"
"24659","GSSP","MAJESCO","State","Michigan","MI","StateCode"
"24660","GSSP","MAJESCO","State","Minnesota","MN","StateCode"
"24661","GSSP","MAJESCO","State","Mississippi","MS","StateCode"
"24662","GSSP","MAJESCO","Groupstatus_Code","PENDINGISSUE","103","Portal_Status"
"24663","GSSP","MAJESCO","Groupstatus_Code","PendingPrem","103","Portal_Status"
"24664","GSSP","MAJESCO","Groupstatus_Code","PendingRenewal","103","Portal_Status"
